floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,flat_id
31,40,3,88.0,82000000,Хорошево-Мневники, Саляма Адиля,2к1,Народное Ополчение,312626952
7,9,3,135.0,158000000,Замоскворечье, Бахрушина,13,Павелецкая,316371474
8,53,3,150.0,135000000,Раменки,Мосфильмовская ,8,Ломоносовский проспект,247174958
33,65,3,190.0,128732942,Пресненский,набережная Пресненская,8с1,Деловой центр,305062321
22,53,3,153.0,167970000,Раменки,Мосфильмовская ,8,Поклонная,306008768
14,33,3,91.0,25800000,Южное Бутово, Поляны,5Ак2,Улица Скобелевская,317504729
9,22,3,78.0,34800000,Хорошево-Мневники,бульвар Генерала Карбышева,18,Народное Ополчение,316661265
9,24,3,65.9,34500000,Москворечье-Сабурово,Каширский проезд,25к1,Варшавская,314501791
27,41,3,79.0,71000000,Раменки,Парклэйн тер.,к2,Кутузовская,312468301
23,23,3,81.0,17895000,Черемушки,Нахимовский проспект,31к3,Профсоюзная,315277786
11,41,3,115.0,115000000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,314636162
12,18,3,105.0,43500000,Кунцево,Ельнинская ,11К3,Молодёжная,316207686
24,32,3,84.6,80990000,Дорогомилово,Поклонная ,9,Поклонная,315270194
26,36,3,123.0,113000000,Беговой,Ленинградский проспект,34А,Динамо,301968782
26,36,3,120.0,109900000,Раменки,Минская ,2,Минская,309750410
4,12,3,56.0,15500000,Бибирево, Лескова,21,Бибирево,316941067
4,14,3,119.3,105000000,Замоскворечье,Мытная ,7с1,Серпуховская,314971290
26,39,3,121.0,109900000,Раменки,Минская ,2,Минская,315274449
17,53,3,95.0,87000000,Раменки,Мосфильмовская ,8,Ломоносовский проспект,314443815
4,14,3,105.0,210000000,Хамовники, Усачева,15А,Спортивная,315236500
6,9,1,34.0,9380000,Северное Медведково,проезд Шокальского,45К2,Медведково,315614922
28,32,1,41.4,18400000,Богородское,Просторная ,7,Преображенская площадь,316777549
12,30,1,41.3,20800000,Южнопортовый,Волгоградский проспект,32/5к3,Угрешская,316866188
5,39,1,41.4,24850000,Ростокино, Вильгельма Пика,1,Ботанический сад,317065635
4,9,1,32.6,9850000,Отрадное,Северный бульвар,8,Отрадное,298373961
4,5,1,33.0,9700000,Перово,2-я Владимирская ,15К1,Перово,317063512
3,14,1,34.8,9500000,Вешняки,Реутовская ,2/1,Новогиреево,316188391
9,24,1,39.5,12800000,Кузьминки,Волгоградский проспект,86К1,Кузьминки,316296379
1,19,2,70.0,46900000,Хорошево-Мневники,Шелепихинская набережная,34к2,Шелепиха,312095964
5,6,2,50.0,66960000,Хамовники,Зубовская ,7,Парк Культуры,315815519
10,22,2,90.0,43900000,Раменки, Пырьева,9К1,Поклонная,315519326
6,9,2,45.0,9999999,Выхино-Жулебино,Волгоградский проспект,181к1,Юго-Восточная,312612845
4,18,2,62.57,12360000,Бирюлево Восточное,6-я Радиальная ,7/1к2,Царицыно,225134236
11,36,2,53.0,37900000,Хорошево-Мневники,Шелепихинская набережная,34к3зд6,Шелепиха,317331521
6,7,2,92.7,42500000,Алексеевский,проспект Мира,102к2,Алексеевская,314832827
8,8,2,42.7,29200000,Хамовники,2-я Фрунзенская ,7,Фрунзенская,317461027
4,9,2,41.0,16900000,Марьина роща, Сущевский Вал,23,Савёловская,316731104
4,8,2,69.8,52210574,Хамовники,Смоленский бульвар,22/14,Смоленская,302999320
7,8,2,60.0,20900000,Сокол, Панфилова,10,Панфиловская,313656228
6,8,2,78.0,25500000,Преображенское,Электрозаводская ,33С5,Преображенская площадь,306778585
6,12,2,45.0,17500000,Чертаново Центральное,Кировоградская ,16К1,Южная,315571125
8,17,2,57.7,22000000,Крылатское,Осенний бульвар,8К1,Крылатское,317035063
4,20,2,60.0,15100000,Бирюлево Восточное,6-я Радиальная ,7/1к2,Царицыно,315905779
5,14,2,56.0,14300000,Марьино, Перерва,34,Марьино,317421007
31,38,3,75.5,42000000,Строгино, Маршала Катукова,24к1,Строгино,316201248
8,12,3,63.0,14499999,Люблино,Тихорецкий бульвар,14К2,Люблино,317057891
14,20,3,132.5,110000000,Гагаринский, Косыгина,13к1,Воробьёвы горы,305062348
4,5,3,62.0,25990000,Сокол,Новопесчаная ,11/6,Сокол,314699443
4,23,3,100.0,62100000,Филевский парк,Кастанаевская ,24,Филёвский парк,312706709
